id,repdem,libcon
1951,Independent (Lean toward the Democratic Party),Extremely liberal
1953,Independent,Moderate
1954,Democrat (Weakly Democratic),Moderate
1955,Republican (Strongly Republican),Conservative
1956,Democrat (Weakly Democratic),Moderate
1957,Democrat (Strongly Democratic),Slightly liberal
1958,Independent (Lean toward the Democratic Party),Liberal
1959,Independent,Moderate
1960,Democrat (Strongly Democratic),Extremely liberal
1963,Democrat (Strongly Democratic),Extremely liberal
1964,Independent,Moderate
1965,Democrat (Weakly Democratic),Liberal
1966,Democrat (Strongly Democratic),Moderate
1967,Democrat (Strongly Democratic),Liberal
1968,Republican (Weakly Republican),Slightly conservative
1970,Democrat (Strongly Democratic),Moderate
1971,Independent (Lean toward the Democratic Party),Extremely liberal
1972,Democrat (Strongly Democratic),Liberal
1973,Independent,Moderate
1974,Democrat (Weakly Democratic),Liberal
1975,Democrat (Strongly Democratic),Liberal
1976,Independent (Lean toward the Democratic Party),Moderate
1977,Democrat (Strongly Democratic),Extremely liberal
1978,Democrat (Weakly Democratic),Liberal
1979,Independent (Lean toward the Democratic Party),Liberal
1980,Democrat (Weakly Democratic),Moderate
1981,Democrat (Weakly Democratic),Liberal
1982,Independent,Moderate
1984,Republican (Strongly Republican),Conservative
1985,Independent,Moderate
1986,Democrat (Strongly Democratic),Liberal
1987,Republican (Strongly Republican),Conservative
1988,Independent (Lean toward the Democratic Party),Liberal
1989,Independent,Moderate
1990,Republican (Strongly Republican),Extremely conservative
1991,Independent (Lean toward the Democratic Party),Liberal
1992,Democrat (Strongly Democratic),Liberal
1993,Independent,Liberal
1994,Independent,Slightly liberal
1995,Republican (Strongly Republican),Conservative
1996,Democrat (Strongly Democratic),Liberal
1999,Democrat (Weakly Democratic),Slightly liberal
2000,Independent (Lean toward the Democratic Party),Slightly liberal
2001,Independent,Moderate
2002,Democrat (Strongly Democratic),Extremely liberal
2004,Independent (Lean toward the Republican Party),Moderate
2005,Democrat (Strongly Democratic),Liberal
2007,Democrat (Strongly Democratic),Moderate
2008,Independent,Moderate
2009,Independent (Lean toward the Democratic Party),Liberal
2010,Republican (Strongly Republican),Conservative
2011,Independent (Lean toward the Republican Party),Conservative
2012,Independent (Lean toward the Democratic Party),Slightly liberal
2013,Independent,Slightly liberal
2014,Democrat (Strongly Democratic),Liberal
2016,Democrat (Strongly Democratic),Extremely liberal
2017,Democrat (Strongly Democratic),Liberal
2018,Democrat (Strongly Democratic),Liberal
2019,Democrat (Strongly Democratic),Liberal
2021,Independent (Lean toward the Democratic Party),Moderate
2023,Democrat (Weakly Democratic),Liberal
2024,Independent (Lean toward the Democratic Party),Liberal
2025,Democrat (Weakly Democratic),Moderate
2026,Independent,Extremely conservative
2027,Democrat (Strongly Democratic),Extremely liberal
2029,Independent (Lean toward the Democratic Party),Moderate
2030,Republican (Strongly Republican),Conservative
2031,Democrat (Strongly Democratic),Liberal
2033,Independent,Moderate
2034,Independent (Lean toward the Democratic Party),Liberal
2035,Democrat (Strongly Democratic),Extremely liberal
2036,Democrat (Weakly Democratic),Liberal
2037,Democrat (Weakly Democratic),Slightly conservative
2038,Republican (Strongly Republican),Extremely conservative
2039,Independent,Liberal
2040,Republican (Weakly Republican),Extremely liberal
2041,Independent,Moderate
2042,Democrat (Strongly Democratic),Liberal
2044,Independent (Lean toward the Democratic Party),Moderate
2045,Independent (Lean toward the Democratic Party),Slightly liberal
2046,Republican (Weakly Republican),Slightly conservative
2047,Democrat (Strongly Democratic),Liberal
2048,Republican (Strongly Republican),Slightly conservative
2049,Democrat (Strongly Democratic),Liberal
2050,Independent,Moderate
2052,Republican (Weakly Republican),Slightly conservative
2053,Independent (Lean toward the Republican Party),Slightly conservative
2054,Independent,Moderate
2055,Democrat (Weakly Democratic),Conservative
2056,Democrat (Weakly Democratic),Slightly liberal
2057,Democrat (Strongly Democratic),Liberal
2058,Republican (Strongly Republican),Extremely conservative
2059,Independent (Lean toward the Democratic Party),Slightly liberal
2060,Republican (Weakly Republican),Moderate
2061,Democrat (Strongly Democratic),Liberal
2062,Democrat (Strongly Democratic),Extremely liberal
2063,Independent (Lean toward the Republican Party),Moderate
2064,Independent (Lean toward the Democratic Party),Liberal
2066,Independent,Moderate
2067,Independent,Liberal
2068,Democrat (Strongly Democratic),Extremely liberal
2069,Republican (Weakly Republican),Moderate
2070,Republican (Strongly Republican),Moderate
2071,Independent (Lean toward the Republican Party),Moderate
2072,Republican (Weakly Republican),Conservative
2073,Independent,Moderate
2074,Democrat (Strongly Democratic),Liberal
2075,Democrat (Strongly Democratic),Extremely liberal
2077,Republican (Strongly Republican),Conservative
2078,Democrat (Strongly Democratic),Extremely liberal
2079,Independent (Lean toward the Democratic Party),Slightly liberal
2080,Democrat (Strongly Democratic),Liberal
2081,Democrat (Strongly Democratic),Liberal
2083,Independent,Slightly conservative
2084,Independent (Lean toward the Republican Party),Conservative
2085,Democrat (Strongly Democratic),Extremely liberal
2086,Independent (Lean toward the Democratic Party),Moderate
2087,Independent (Lean toward the Democratic Party),Liberal
2088,Independent,Moderate
2089,Democrat (Strongly Democratic),Extremely liberal
2090,Independent,Moderate
2091,Democrat (Weakly Democratic),Liberal
2092,Independent,Moderate
2093,Republican (Strongly Republican),Moderate
2094,Independent,Extremely liberal
2098,Democrat (Weakly Democratic),Slightly liberal
2101,Democrat (Weakly Democratic),Moderate
2103,Independent (Lean toward the Republican Party),Moderate
2104,Democrat (Weakly Democratic),Moderate
2105,Independent (Lean toward the Republican Party),Moderate
2106,Independent (Lean toward the Republican Party),Conservative
2107,Republican (Strongly Republican),Moderate
2108,Democrat (Weakly Democratic),Liberal
2109,Democrat (Strongly Democratic),Liberal
2110,Independent (Lean toward the Democratic Party),Slightly conservative
2111,Republican (Strongly Republican),Conservative
2112,Democrat (Strongly Democratic),Liberal
2114,Republican (Weakly Republican),Conservative
2115,Independent (Lean toward the Republican Party),Moderate
2116,Independent,Moderate
2117,Democrat (Weakly Democratic),Liberal
2118,Independent,Moderate
2119,Republican (Strongly Republican),Extremely conservative
2120,Independent (Lean toward the Republican Party),Moderate
2121,Independent,Moderate
2122,Republican (Weakly Republican),Slightly conservative
2123,Democrat (Strongly Democratic),Liberal
2124,Independent (Lean toward the Republican Party),Moderate
2125,Independent (Lean toward the Democratic Party),Slightly liberal
2126,Democrat (Strongly Democratic),Extremely liberal
2127,Independent,Moderate
2128,Republican (Weakly Republican),Moderate
2129,Independent,Moderate
2131,Democrat (Strongly Democratic),Moderate
2132,Independent (Lean toward the Republican Party),Moderate
2133,Independent (Lean toward the Democratic Party),Conservative
2135,Independent,Moderate
2136,Republican (Strongly Republican),Conservative
2137,Independent,Moderate
2138,Republican (Weakly Republican),Moderate
2139,Democrat (Strongly Democratic),Liberal
2140,Democrat (Strongly Democratic),Moderate
2141,Democrat (Strongly Democratic),Slightly liberal
2142,Democrat (Strongly Democratic),Liberal
2144,Independent,Slightly liberal
2145,Independent (Lean toward the Republican Party),Liberal
2146,Democrat (Strongly Democratic),Extremely liberal
2147,Democrat (Strongly Democratic),Slightly liberal
2148,Independent (Lean toward the Democratic Party),Liberal
2149,Republican (Weakly Republican),Slightly conservative
2150,Republican (Weakly Republican),Slightly conservative
2151,Independent,Conservative
2152,Independent (Lean toward the Republican Party),Moderate
2153,Independent,Moderate
2154,Independent,Slightly liberal
2156,Independent,Moderate
2157,Independent (Lean toward the Democratic Party),Moderate
2158,Democrat (Weakly Democratic),Liberal
2159,Independent (Lean toward the Democratic Party),Moderate
2160,Republican (Strongly Republican),Conservative
2161,Independent (Lean toward the Democratic Party),Slightly liberal
2162,Democrat (Strongly Democratic),Extremely liberal
2163,Independent (Lean toward the Democratic Party),Slightly liberal
2164,Independent,Slightly liberal
2165,Democrat (Strongly Democratic),Liberal
2166,Independent (Lean toward the Democratic Party),Liberal
2167,Republican (Strongly Republican),Extremely conservative
2168,Democrat (Strongly Democratic),Extremely liberal
2169,Republican (Strongly Republican),Extremely conservative
2170,Independent,Moderate
2171,Democrat (Strongly Democratic),Liberal
2173,Democrat (Strongly Democratic),Extremely liberal
2174,Independent,Moderate
2175,Independent,Moderate
2176,Republican (Weakly Republican),Slightly liberal
2177,Republican (Strongly Republican),Conservative
2179,Independent (Lean toward the Democratic Party),Moderate
2180,Independent,Extremely liberal
2181,Independent,Moderate
2183,Democrat (Strongly Democratic),Liberal
2184,Democrat (Strongly Democratic),Liberal
2185,Democrat (Strongly Democratic),Extremely liberal
2186,Democrat (Weakly Democratic),Moderate
2187,Democrat (Weakly Democratic),Liberal
2188,Independent (Lean toward the Republican Party),Moderate
2189,Independent (Lean toward the Republican Party),Conservative
2190,Independent (Lean toward the Republican Party),Conservative
2191,Democrat (Weakly Democratic),Moderate
2194,Democrat (Strongly Democratic),Liberal
2195,Democrat (Strongly Democratic),Liberal
2196,Independent,Slightly conservative
2197,Independent (Lean toward the Republican Party),Conservative
2198,Democrat (Weakly Democratic),Moderate
2201,Independent,Slightly conservative
2203,Independent (Lean toward the Democratic Party),Slightly liberal
2204,Republican (Weakly Republican),Slightly conservative
2205,Republican (Strongly Republican),Conservative
2206,Independent (Lean toward the Democratic Party),Extremely liberal
2207,Democrat (Strongly Democratic),Liberal
2208,Democrat (Weakly Democratic),Slightly liberal
2209,Independent (Lean toward the Republican Party),Conservative
2210,Independent (Lean toward the Democratic Party),Liberal
2211,Independent,Moderate
2212,Independent (Lean toward the Republican Party),Slightly conservative
2213,Independent (Lean toward the Democratic Party),Liberal
2214,Independent (Lean toward the Democratic Party),Moderate
2215,Independent (Lean toward the Republican Party),Conservative
2216,Independent (Lean toward the Republican Party),Slightly conservative
2217,Democrat (Weakly Democratic),Slightly liberal
2218,Independent (Lean toward the Republican Party),Conservative
2219,Republican (Strongly Republican),Conservative
2220,Democrat (Strongly Democratic),Liberal
2222,Independent (Lean toward the Democratic Party),Liberal
2223,Independent (Lean toward the Democratic Party),Moderate
2224,Republican (Weakly Republican),Slightly liberal
2226,Republican (Strongly Republican),Extremely conservative
2227,Democrat (Strongly Democratic),Liberal
2228,Democrat (Weakly Democratic),Slightly liberal
2229,Independent,Moderate
2230,Democrat (Strongly Democratic),Moderate
2232,Democrat (Weakly Democratic),Moderate
2233,Independent (Lean toward the Democratic Party),Moderate
2234,Independent (Lean toward the Republican Party),Conservative
2235,Independent (Lean toward the Democratic Party),Slightly liberal
2236,Independent,Extremely conservative
2237,Democrat (Strongly Democratic),Extremely liberal
2238,Independent (Lean toward the Republican Party),Slightly conservative
2239,Republican (Weakly Republican),Slightly conservative
2240,Independent (Lean toward the Republican Party),Moderate
2242,Independent,Extremely liberal
2243,Independent,Moderate
2245,Democrat (Strongly Democratic),Liberal
2246,Democrat (Strongly Democratic),Liberal
2247,Democrat (Strongly Democratic),Liberal
2249,Democrat (Strongly Democratic),Extremely liberal
2250,Republican (Weakly Republican),Conservative
2252,Republican (Weakly Republican),Moderate
2254,Democrat (Weakly Democratic),Extremely liberal
2256,Independent (Lean toward the Democratic Party),Extremely liberal
2257,Democrat (Weakly Democratic),Moderate
2258,Independent (Lean toward the Republican Party),Moderate
2259,Democrat (Strongly Democratic),Extremely liberal
2261,Independent,Liberal
2262,Independent (Lean toward the Republican Party),Moderate
2263,Independent (Lean toward the Democratic Party),Liberal
2264,Democrat (Weakly Democratic),Moderate
2266,Republican (Weakly Republican),Conservative
2268,Independent,Liberal
2269,Independent (Lean toward the Republican Party),Slightly conservative
2270,Republican (Strongly Republican),Conservative
2271,Democrat (Strongly Democratic),Extremely liberal
2273,Democrat (Weakly Democratic),Slightly liberal
2274,Independent (Lean toward the Democratic Party),Moderate
2276,Republican (Strongly Republican),Conservative
2277,Republican (Weakly Republican),Slightly conservative
2279,Democrat (Strongly Democratic),Slightly liberal
2280,Democrat (Strongly Democratic),Liberal
2281,Independent,Moderate
2282,Independent,Conservative
2283,Independent (Lean toward the Republican Party),Slightly conservative
2284,Democrat (Strongly Democratic),Liberal
2285,Republican (Strongly Republican),Conservative
2286,Republican (Weakly Republican),Slightly conservative
2287,Independent (Lean toward the Democratic Party),Slightly liberal
2288,Democrat (Strongly Democratic),Extremely liberal
2289,Independent,Liberal
2290,Democrat (Weakly Democratic),Moderate
2291,Independent (Lean toward the Democratic Party),Moderate
2292,Republican (Weakly Republican),Slightly conservative
2293,Republican (Weakly Republican),Conservative
2294,Independent (Lean toward the Democratic Party),Liberal
2295,Independent (Lean toward the Democratic Party),Slightly liberal
2297,Democrat (Weakly Democratic),Moderate
2298,Independent (Lean toward the Democratic Party),Liberal
2299,Democrat (Strongly Democratic),Moderate
2300,Democrat (Weakly Democratic),Liberal
2303,Democrat (Weakly Democratic),Liberal
2304,Independent (Lean toward the Democratic Party),Slightly conservative
2305,Republican (Strongly Republican),Moderate
2306,Democrat (Strongly Democratic),Liberal
2308,Independent,Moderate
2309,Republican (Weakly Republican),Slightly conservative
2310,Independent (Lean toward the Democratic Party),Conservative
2311,Republican (Weakly Republican),Slightly conservative
2312,Independent (Lean toward the Republican Party),Moderate
2313,Independent (Lean toward the Democratic Party),Liberal
2314,Democrat (Strongly Democratic),Extremely liberal
2315,Democrat (Strongly Democratic),Liberal
2316,Independent (Lean toward the Democratic Party),Liberal
2318,Independent,Slightly liberal
2320,Democrat (Strongly Democratic),Liberal
2321,Democrat (Weakly Democratic),Moderate
2322,Independent (Lean toward the Democratic Party),Slightly liberal
2323,Independent (Lean toward the Democratic Party),Liberal
2325,Independent,Moderate
2326,Independent,Moderate
2327,Republican (Strongly Republican),Conservative
2328,Independent (Lean toward the Democratic Party),Slightly liberal
2329,Democrat (Strongly Democratic),Extremely liberal
2330,Independent,Liberal
2331,Democrat (Strongly Democratic),Extremely liberal
2332,Independent (Lean toward the Democratic Party),Extremely liberal
2333,Democrat (Weakly Democratic),Liberal
2334,Independent (Lean toward the Democratic Party),Liberal
2335,Independent (Lean toward the Republican Party),Slightly conservative
2336,Democrat (Weakly Democratic),Slightly liberal
2337,Independent (Lean toward the Republican Party),Slightly conservative
2338,Democrat (Strongly Democratic),Liberal
2339,Independent (Lean toward the Republican Party),Moderate
2340,Independent (Lean toward the Democratic Party),Liberal
2341,Democrat (Strongly Democratic),Extremely liberal
2342,Democrat (Weakly Democratic),Moderate
2343,Independent (Lean toward the Democratic Party),Moderate
2344,Republican (Weakly Republican),Conservative
2347,Democrat (Strongly Democratic),Liberal
2348,Democrat (Strongly Democratic),Slightly liberal
2349,Independent (Lean toward the Democratic Party),Liberal
2352,Democrat (Strongly Democratic),Liberal
2354,Democrat (Strongly Democratic),Extremely liberal
2355,Democrat (Strongly Democratic),Extremely liberal
2356,Independent,Moderate
2359,Independent (Lean toward the Democratic Party),Moderate
2360,Democrat (Weakly Democratic),Liberal
2361,Independent (Lean toward the Republican Party),Conservative
2362,Democrat (Strongly Democratic),Extremely liberal
2363,Independent (Lean toward the Democratic Party),Liberal
2364,Democrat (Strongly Democratic),Liberal
2365,Democrat (Strongly Democratic),Liberal
2366,Republican (Weakly Republican),Slightly conservative
2367,Republican (Strongly Republican),Extremely conservative
2368,Independent (Lean toward the Republican Party),Slightly conservative
2370,Democrat (Strongly Democratic),Extremely liberal
2371,Democrat (Weakly Democratic),Liberal
2372,Independent (Lean toward the Democratic Party),Moderate
2374,Republican (Strongly Republican),Conservative
2375,Independent (Lean toward the Democratic Party),Liberal
2378,Democrat (Strongly Democratic),Liberal
2379,Independent,Liberal
2380,Democrat (Weakly Democratic),Slightly liberal
2381,Democrat (Strongly Democratic),Extremely liberal
2382,Republican (Weakly Republican),Conservative
2383,Republican (Strongly Republican),Conservative
2384,Independent (Lean toward the Democratic Party),Liberal
2385,Democrat (Weakly Democratic),Moderate
2386,Independent (Lean toward the Democratic Party),Liberal
2387,Democrat (Strongly Democratic),Extremely liberal
2388,Independent (Lean toward the Republican Party),Conservative
2389,Democrat (Strongly Democratic),Extremely liberal
2390,Republican (Strongly Republican),Extremely conservative
2392,Democrat (Strongly Democratic),Liberal
2393,Republican (Weakly Republican),Conservative
2394,Independent (Lean toward the Republican Party),Moderate
2395,Independent (Lean toward the Democratic Party),Moderate
2396,Republican (Strongly Republican),Conservative
2397,Republican (Weakly Republican),Slightly conservative
2399,Democrat (Weakly Democratic),Liberal
2400,Democrat (Strongly Democratic),Liberal
2403,Republican (Strongly Republican),Moderate
2404,Republican (Weakly Republican),Slightly conservative
2405,Democrat (Weakly Democratic),Liberal
2406,Democrat (Weakly Democratic),Liberal
2407,Independent (Lean toward the Democratic Party),Moderate
2408,Democrat (Weakly Democratic),Slightly liberal
2409,Independent,Moderate
2410,Democrat (Strongly Democratic),Liberal
2411,Independent (Lean toward the Democratic Party),Liberal
2413,Republican (Weakly Republican),Slightly conservative
2414,Independent (Lean toward the Democratic Party),Liberal
2415,Independent (Lean toward the Democratic Party),Moderate
2416,Independent (Lean toward the Republican Party),Slightly conservative
2417,Democrat (Strongly Democratic),Liberal
2418,Democrat (Strongly Democratic),Liberal
2419,Democrat (Strongly Democratic),Extremely liberal
2420,Independent (Lean toward the Democratic Party),Liberal
2421,Republican (Weakly Republican),Slightly conservative
2422,Independent (Lean toward the Democratic Party),Liberal
2423,Independent (Lean toward the Democratic Party),Liberal
2424,Democrat (Strongly Democratic),Extremely liberal
2425,Independent (Lean toward the Democratic Party),Slightly liberal
2427,Democrat (Strongly Democratic),Liberal
2428,Republican (Strongly Republican),Extremely conservative
2429,Democrat (Strongly Democratic),Liberal
2431,Independent,Moderate
2432,Democrat (Strongly Democratic),Liberal
2433,Independent,Moderate
2434,Independent (Lean toward the Democratic Party),Slightly liberal
2435,Republican (Strongly Republican),Extremely conservative
2436,Independent (Lean toward the Democratic Party),Liberal
2437,Independent (Lean toward the Democratic Party),Slightly liberal
2438,Independent (Lean toward the Democratic Party),Liberal
2440,Democrat (Strongly Democratic),Extremely liberal
2441,Democrat (Strongly Democratic),Liberal
2443,Independent,Moderate
2444,Independent,Liberal
2445,Independent (Lean toward the Republican Party),Slightly conservative
2447,Democrat (Weakly Democratic),Moderate
2448,Independent (Lean toward the Republican Party),Slightly conservative
2449,Democrat (Strongly Democratic),Extremely liberal
2450,Democrat (Strongly Democratic),Liberal
2451,Democrat (Strongly Democratic),Extremely liberal
2452,Democrat (Strongly Democratic),Liberal
2453,Independent,Moderate
2454,Democrat (Strongly Democratic),Liberal
2455,Democrat (Weakly Democratic),Slightly liberal
2456,Democrat (Weakly Democratic),Moderate
2457,Independent (Lean toward the Republican Party),Slightly conservative
2458,Independent,Moderate
2459,Republican (Strongly Republican),Conservative
2460,Republican (Strongly Republican),Moderate
2461,Independent,Moderate
2462,Republican (Weakly Republican),Conservative
2463,Independent (Lean toward the Republican Party),Conservative
2464,Democrat (Strongly Democratic),Liberal
2465,Democrat (Strongly Democratic),Liberal
2466,Republican (Strongly Republican),Extremely conservative
2467,Democrat (Strongly Democratic),Liberal
2468,Democrat (Weakly Democratic),Liberal
2469,Independent,Moderate
2470,Democrat (Weakly Democratic),Moderate
2471,Independent (Lean toward the Democratic Party),Liberal
2472,Democrat (Strongly Democratic),Liberal
2473,Republican (Weakly Republican),Moderate
2474,Independent (Lean toward the Democratic Party),Slightly liberal
2475,Democrat (Weakly Democratic),Moderate
2476,Democrat (Strongly Democratic),Liberal
2477,Republican (Weakly Republican),Slightly conservative
2479,Independent,Slightly conservative
2480,Republican (Strongly Republican),Extremely conservative
2481,Independent,Slightly conservative
2482,Republican (Strongly Republican),Conservative
2483,Independent (Lean toward the Republican Party),Slightly conservative
2484,Democrat (Weakly Democratic),Slightly liberal
2485,Democrat (Weakly Democratic),Moderate
2487,Independent (Lean toward the Democratic Party),Slightly liberal
2488,Democrat (Strongly Democratic),Extremely liberal
2489,Democrat (Weakly Democratic),Liberal
2490,Democrat (Weakly Democratic),Liberal
2492,Independent (Lean toward the Democratic Party),Slightly liberal
2494,Democrat (Strongly Democratic),Liberal
2495,Democrat (Strongly Democratic),Liberal
2497,Independent (Lean toward the Republican Party),Moderate
2498,Democrat (Strongly Democratic),Liberal
2499,Democrat (Weakly Democratic),Liberal
2500,Independent (Lean toward the Democratic Party),Liberal
2501,Republican (Weakly Republican),Slightly conservative
2502,Independent,Conservative
2503,Independent (Lean toward the Democratic Party),Moderate
2504,Democrat (Strongly Democratic),Extremely liberal
2505,Democrat (Strongly Democratic),Extremely liberal
2506,Democrat (Strongly Democratic),Liberal
2507,Independent (Lean toward the Democratic Party),Extremely liberal
2509,Republican (Strongly Republican),Conservative
2510,Democrat (Weakly Democratic),Moderate
2511,Democrat (Weakly Democratic),Moderate
2512,Independent,Slightly liberal
2513,Independent (Lean toward the Democratic Party),Moderate
2514,Independent,Conservative
2515,Democrat (Weakly Democratic),Liberal
2516,Independent (Lean toward the Democratic Party),Liberal
2517,Independent (Lean toward the Republican Party),Conservative
2518,Independent (Lean toward the Republican Party),Conservative
2519,Democrat (Strongly Democratic),Liberal
2520,Republican (Strongly Republican),Conservative
2521,Democrat (Strongly Democratic),Liberal
2522,Democrat (Weakly Democratic),Liberal
2523,Democrat (Strongly Democratic),Extremely liberal
2524,Independent (Lean toward the Democratic Party),Slightly conservative
2525,Democrat (Strongly Democratic),Liberal
2527,Democrat (Strongly Democratic),Liberal
2528,Independent (Lean toward the Republican Party),Moderate
2529,Independent,Moderate
2530,Independent,Moderate
2531,Democrat (Strongly Democratic),Moderate
2532,Independent (Lean toward the Democratic Party),Liberal
2533,Democrat (Strongly Democratic),Extremely liberal
2534,Independent,Extremely liberal
2535,Republican (Weakly Republican),Conservative
2536,Independent,Slightly conservative
2537,Independent,Conservative
2538,Independent (Lean toward the Republican Party),Slightly conservative
2539,Independent (Lean toward the Republican Party),Conservative
2540,Independent (Lean toward the Republican Party),Conservative
2542,Independent,Slightly liberal
2545,Democrat (Strongly Democratic),Liberal
2546,Independent,Slightly liberal
2548,Democrat (Strongly Democratic),Extremely liberal
2550,Democrat (Strongly Democratic),Liberal
2551,Democrat (Strongly Democratic),Extremely liberal
2552,Independent (Lean toward the Democratic Party),Liberal
2553,Democrat (Strongly Democratic),Extremely liberal
2554,Republican (Weakly Republican),Slightly conservative
2555,Democrat (Strongly Democratic),Extremely liberal
2557,Democrat (Strongly Democratic),Liberal
2558,Independent (Lean toward the Democratic Party),Moderate
2559,Democrat (Strongly Democratic),Liberal
2560,Democrat (Strongly Democratic),Extremely liberal
2561,Independent (Lean toward the Democratic Party),Moderate
2562,Independent (Lean toward the Democratic Party),Liberal
2563,Independent (Lean toward the Republican Party),Slightly conservative
2564,Independent,Extremely liberal
2565,Independent (Lean toward the Democratic Party),Extremely liberal
2566,Independent (Lean toward the Democratic Party),Moderate
2567,Republican (Strongly Republican),Conservative
2568,Independent (Lean toward the Republican Party),Conservative
2569,Independent (Lean toward the Democratic Party),Moderate
2571,Independent,Moderate
2572,Republican (Strongly Republican),Slightly conservative
2573,Republican (Weakly Republican),Slightly conservative
2574,Democrat (Strongly Democratic),Liberal
2575,Democrat (Strongly Democratic),Liberal
2576,Independent,Moderate
2577,Independent (Lean toward the Democratic Party),Slightly liberal
2578,Independent (Lean toward the Democratic Party),Moderate
2579,Democrat (Weakly Democratic),Liberal
2580,Independent (Lean toward the Republican Party),Slightly conservative
2582,Independent (Lean toward the Democratic Party),Liberal
2583,Independent (Lean toward the Democratic Party),Slightly liberal
2585,Democrat (Strongly Democratic),Liberal
2587,Independent,Moderate
2588,Independent (Lean toward the Democratic Party),Slightly liberal
2589,Republican (Strongly Republican),Conservative
2590,Democrat (Strongly Democratic),Liberal
2592,Independent,Liberal
2593,Republican (Strongly Republican),Conservative
2594,Democrat (Weakly Democratic),Moderate
2595,Republican (Strongly Republican),Conservative
2596,Independent (Lean toward the Democratic Party),Slightly liberal
2597,Democrat (Weakly Democratic),Slightly liberal
2598,Democrat (Strongly Democratic),Extremely liberal
2599,Independent (Lean toward the Democratic Party),Slightly liberal
2600,Democrat (Strongly Democratic),Liberal
2601,Independent (Lean toward the Democratic Party),Extremely liberal
2602,Republican (Strongly Republican),Conservative
2603,Democrat (Strongly Democratic),Moderate
2604,Independent (Lean toward the Democratic Party),Slightly liberal
2605,Independent (Lean toward the Democratic Party),Liberal
2606,Republican (Weakly Republican),Moderate
2607,Independent (Lean toward the Democratic Party),Liberal
2608,Democrat (Weakly Democratic),Slightly liberal
2609,Democrat (Strongly Democratic),Moderate
2610,Independent (Lean toward the Democratic Party),Slightly liberal
2611,Democrat (Weakly Democratic),Liberal
2612,Independent (Lean toward the Republican Party),Slightly conservative
2613,Democrat (Strongly Democratic),Liberal
2614,Democrat (Weakly Democratic),Slightly liberal
2615,Republican (Weakly Republican),Conservative
2616,Independent (Lean toward the Republican Party),Slightly conservative
2617,Independent,Liberal
2618,Democrat (Strongly Democratic),Extremely liberal
2619,Independent,Moderate
2620,Democrat (Strongly Democratic),Liberal
2621,Independent (Lean toward the Democratic Party),Slightly conservative
2622,Independent,Moderate
2623,Independent (Lean toward the Republican Party),Slightly conservative
2624,Independent (Lean toward the Democratic Party),Slightly liberal
2625,Democrat (Weakly Democratic),Liberal
2626,Democrat (Strongly Democratic),Liberal
2627,Republican (Strongly Republican),Conservative
2628,Independent (Lean toward the Democratic Party),Slightly liberal
2629,Democrat (Strongly Democratic),Extremely liberal
2630,Independent (Lean toward the Republican Party),Moderate
2631,Democrat (Strongly Democratic),Liberal
2632,Democrat (Strongly Democratic),Slightly liberal
2634,Independent (Lean toward the Democratic Party),Liberal
2635,Democrat (Strongly Democratic),Extremely liberal
2637,Independent,Slightly conservative
2638,Independent (Lean toward the Democratic Party),Liberal
2639,Democrat (Strongly Democratic),Extremely liberal
2640,Independent (Lean toward the Democratic Party),Extremely liberal
2642,Independent (Lean toward the Republican Party),Slightly conservative
2643,Republican (Weakly Republican),Conservative
2646,Democrat (Strongly Democratic),Moderate
2647,Democrat (Weakly Democratic),Moderate
2648,Independent (Lean toward the Democratic Party),Slightly liberal
2649,Independent,Moderate
2651,Independent (Lean toward the Republican Party),Slightly conservative
2652,Democrat (Strongly Democratic),Liberal
2653,Democrat (Strongly Democratic),Slightly liberal
2654,Independent (Lean toward the Democratic Party),Moderate
2655,Democrat (Strongly Democratic),Liberal
2656,Independent,Moderate
2657,Democrat (Weakly Democratic),Slightly liberal
2658,Independent (Lean toward the Republican Party),Slightly liberal
2659,Democrat (Weakly Democratic),Slightly liberal
2660,Democrat (Strongly Democratic),Slightly liberal
2661,Republican (Weakly Republican),Conservative
2662,Republican (Strongly Republican),Conservative
2663,Independent,Liberal
2664,Democrat (Strongly Democratic),Liberal
2665,Independent (Lean toward the Democratic Party),Extremely liberal
2666,Democrat (Strongly Democratic),Slightly liberal
2667,Democrat (Strongly Democratic),Extremely liberal
2668,Democrat (Strongly Democratic),Liberal
2669,Democrat (Strongly Democratic),Extremely liberal
2670,Republican (Strongly Republican),Conservative
2671,Democrat (Strongly Democratic),Liberal
2672,Independent (Lean toward the Democratic Party),Slightly liberal
2673,Republican (Strongly Republican),Conservative
2674,Independent,Liberal
2675,Independent (Lean toward the Democratic Party),Liberal
2676,Independent,Moderate
2677,Democrat (Weakly Democratic),Extremely liberal
2678,Independent,Moderate
2679,Democrat (Weakly Democratic),Liberal
2680,Democrat (Strongly Democratic),Extremely liberal
2681,Independent,Moderate
2682,Democrat (Weakly Democratic),Liberal
2684,Democrat (Strongly Democratic),Extremely liberal
2686,Republican (Strongly Republican),Extremely conservative
2687,Independent,Moderate
2688,Independent (Lean toward the Democratic Party),Liberal
2690,Democrat (Strongly Democratic),Extremely liberal
2692,Democrat (Strongly Democratic),Extremely liberal
2693,Democrat (Weakly Democratic),Slightly liberal
2694,Democrat (Strongly Democratic),Liberal
2697,Independent,Slightly conservative
2700,Independent (Lean toward the Democratic Party),Liberal
2701,Independent,Slightly conservative
